"sampleName","yrharv","gene","Barcode","logid","logmicrobid","logLoc","rep_code","plot","symbol","logtrt","yrdeploy","pullDate","bag"
"P3b",2012,"16S","Delta176",238,291,"b","z",3,"3-E","P",2011,"6/20/2012",NA
"P3t",2012,"16S","Delta175",238,288,"t","z",3,"3-E","P",2011,"6/20/2012",NA
"P4b",2012,"16S","Hotel368",334,403,"b","z",4,"2-F","P",2011,"6/21/2012",NA
"P4t",2012,"16S","Hotel367",334,400,"t","z",4,"2-F","P",2011,"6/21/2012",NA
"P5b",2012,"16S","Alpha32",430,513,"b","z",5,"3-G","P",2011,"6/15/2012",NA
"P5t",2012,"16S","Alpha31",430,510,"t","z",5,"3-G","P",2011,"6/15/2012",NA
"P6b",2012,"16S","Echo224",526,623,"b","z",6,"2-D","P",2011,"6/14/2012",NA
"P6t",2012,"16S","Echo223",526,620,"t","z",6,"2-D","P",2011,"6/14/2012",NA
"P7b",2012,"16S","Bravo80",622,732,"b","z",7,"3-B","P",2011,"6/13/2012",NA
"P7t",2012,"16S","Bravo79",622,729,"t","z",7,"3-B","P",2011,"6/13/2012",NA
"P8b",2012,"16S","Foxtrot272",718,842,"b","z",8,"1-A","P",2011,"6/11/2012",NA
"P8t",2012,"16S","Foxtrot271",718,839,"t","z",8,"1-A","P",2011,"6/11/2012",NA
"Q1b",2012,"16S","Charlie130",74,77,"b","z",1,"3-2-C","Q",2009,"6/5/2012",NA
"Q1t",2012,"16S","Charlie129",74,75,"t","z",1,"3-2-C","Q",2009,"6/5/2012",NA
"Q2b",2012,"16S","Golf322",170,187,"b","z",2,"2-1-B","Q",2009,"6/8/2012",NA
"Q2t",2012,"16S","Golf321",170,185,"t","z",2,"2-1-B","Q",2009,"6/8/2012",NA
"Q3b",2012,"16S","Delta178",266,296,"b","z",3,"1-B","Q",2009,"6/19/2012",NA
"Q3t",2012,"16S","Delta177",266,294,"t","z",3,"1-B","Q",2009,"6/19/2012",NA
"Q4b",2012,"16S","Hotel370",362,408,"b","z",4,"3-2-B","Q",2009,"6/21/2012",NA
"Q4t",2012,"16S","Hotel369",362,406,"t","z",4,"3-2-B","Q",2009,"6/21/2012",NA
"Q5b",2012,"16S","Alpha34",458,518,"b","z",5,"2-1-A","Q",2009,"6/18/2012",NA
"Q5t",2012,"16S","Alpha33",458,516,"t","z",5,"2-1-A","Q",2009,"6/18/2012",NA
"Q6b",2012,"16S","Echo226",554,628,"b","z",6,"2-2-H","Q",2009,"6/14/2012",NA
"Q6t",2012,"16S","Echo225",554,626,"t","z",6,"2-2-H","Q",2009,"6/14/2012",NA
"Q7b",2012,"16S","Bravo82",650,737,"b","z",7,"2-2-A","Q",2009,"6/13/2012",NA
"Q7t",2012,"16S","Bravo81",650,735,"t","z",7,"2-2-A","Q",2009,"6/13/2012",NA
"Q8b",2012,"16S","Foxtrot274",746,847,"b","z",8,"2-2-G","Q",2009,"6/12/2012",NA
"Q8t",2012,"16S","Foxtrot273",746,845,"t","z",8,"2-2-G","Q",2009,"6/12/2012",NA
"R1b",2012,"16S","Charlie132",77,80,"b","z",1,"1-1-D","R",2009,"6/5/2012",NA
