"logmicrobid","logid","logLoc","rep_code","sampleName"
386,326,"b","z","M4b"
385,327,"t",NA,"M4t"
387,327,"b",NA,"M4b"
494,422,"t","z","M5t"
496,422,"b","z","M5b"
495,423,"t",NA,"M5t"
497,423,"b",NA,"M5b"
604,518,"t","z","M6t"
606,518,"b","z","M6b"
605,519,"t",NA,"M6t"
607,519,"b",NA,"M6b"
713,614,"t","z","M7t"
715,614,"b","z","M7b"
714,615,"t",NA,"M7t"
716,615,"b",NA,"M7b"
823,710,"t","z","M8t"
825,710,"b","z","M8b"
824,711,"t",NA,"M8t"
826,711,"b",NA,"M8b"
58,41,"t",NA,"N1t-bag"
61,41,"b",NA,"N1b-bag"
57,40,"t","z","N1t"
60,40,"b","z","N1b"
59,42,"t",NA,"N1t"
62,42,"b",NA,"N1b"
168,137,"t",NA,"N2t-bag"
171,137,"b",NA,"N2b-bag"
167,136,"t","z","N2t"
170,136,"b","z","N2b"
169,138,"t",NA,"N2t"
172,138,"b",NA,"N2b"
277,233,"t",NA,"N3t-bag"
280,233,"b",NA,"N3b-bag"
276,232,"t","z","N3t"
279,232,"b","z","N3b"
278,234,"t",NA,"N3t"
281,234,"b",NA,"N3b"
389,329,"t",NA,"N4t-bag"
392,329,"b",NA,"N4b-bag"
388,328,"t","z","N4t"
391,328,"b","z","N4b"
390,330,"t",NA,"N4t"
393,330,"b",NA,"N4b"
499,425,"t",NA,"N5t-bag"
502,425,"b",NA,"N5b-bag"
498,424,"t","z","N5t"
501,424,"b","z","N5b"
500,426,"t",NA,"N5t"
503,426,"b",NA,"N5b"
609,521,"t",NA,"N6t-bag"
612,521,"b",NA,"N6b-bag"
608,520,"t","z","N6t"
611,520,"b","z","N6b"
610,522,"t",NA,"N6t"
613,522,"b",NA,"N6b"
718,617,"t",NA,"N7t-bag"
721,617,"b",NA,"N7b-bag"
717,616,"t","z","N7t"
720,616,"b","z","N7b"
719,618,"t",NA,"N7t"
722,618,"b",NA,"N7b"
828,713,"t",NA,"N8t-bag"
831,713,"b",NA,"N8b-bag"
827,712,"t","z","N8t"
830,712,"b","z","N8b"
829,714,"t",NA,"N8t"
832,714,"b",NA,"N8b"
64,44,"t",NA,"O1t-bag"
67,44,"b",NA,"O1b-bag"
63,43,"t","z","O1t"
66,43,"b","z","O1b"
65,45,"t",NA,"O1t"
68,45,"b",NA,"O1b"
174,140,"t",NA,"O2t-bag"
177,140,"b",NA,"O2b-bag"
173,139,"t","z","O2t"
176,139,"b","z","O2b"
175,141,"t",NA,"O2t"
178,141,"b",NA,"O2b"
283,236,"t",NA,"O3t-bag"
286,236,"b",NA,"O3b-bag"
282,235,"t","z","O3t"
285,235,"b","z","O3b"
284,237,"t",NA,"O3t"
287,237,"b",NA,"O3b"
395,332,"t",NA,"O4t-bag"
398,332,"b",NA,"O4b-bag"
394,331,"t","z","O4t"
397,331,"b","z","O4b"
396,333,"t",NA,"O4t"
399,333,"b",NA,"O4b"
505,428,"t",NA,"O5t-bag"
508,428,"b",NA,"O5b-bag"
504,427,"t","z","O5t"
507,427,"b","z","O5b"
506,429,"t",NA,"O5t"
509,429,"b",NA,"O5b"
615,524,"t",NA,"O6t-bag"
618,524,"b",NA,"O6b-bag"
614,523,"t","z","O6t"
617,523,"b","z","O6b"
616,525,"t",NA,"O6t"
619,525,"b",NA,"O6b"
724,620,"t",NA,"O7t-bag"
727,620,"b",NA,"O7b-bag"
723,619,"t","z","O7t"
726,619,"b","z","O7b"
725,621,"t",NA,"O7t"
728,621,"b",NA,"O7b"
834,716,"t",NA,"O8t-bag"
837,716,"b",NA,"O8b-bag"
833,715,"t","z","O8t"
836,715,"b","z","O8b"
835,717,"t",NA,"O8t"
838,717,"b",NA,"O8b"
70,47,"t",NA,"P1t-bag"
73,47,"b",NA,"P1b-bag"
69,46,"t","z","P1t"
72,46,"b","z","P1b"
71,48,"t",NA,"P1t"
74,48,"b",NA,"P1b"
180,143,"t",NA,"P2t-bag"
183,143,"b",NA,"P2b-bag"
179,142,"t","z","P2t"
182,142,"b","z","P2b"
181,144,"t",NA,"P2t"
184,144,"b",NA,"P2b"
289,239,"t",NA,"P3t-bag"
292,239,"b",NA,"P3b-bag"
288,238,"t","z","P3t"
291,238,"b","z","P3b"
290,240,"t",NA,"P3t"
293,240,"b",NA,"P3b"
401,335,"t",NA,"P4t-bag"
404,335,"b",NA,"P4b-bag"
400,334,"t","z","P4t"
403,334,"b","z","P4b"
402,336,"t",NA,"P4t"
405,336,"b",NA,"P4b"
511,431,"t",NA,"P5t-bag"
514,431,"b",NA,"P5b-bag"
510,430,"t","z","P5t"
513,430,"b","z","P5b"
512,432,"t",NA,"P5t"
515,432,"b",NA,"P5b"
621,527,"t",NA,"P6t-bag"
624,527,"b",NA,"P6b-bag"
620,526,"t","z","P6t"
623,526,"b","z","P6b"
622,528,"t",NA,"P6t"
625,528,"b",NA,"P6b"
730,623,"t",NA,"P7t-bag"
733,623,"b",NA,"P7b-bag"
729,622,"t","z","P7t"
732,622,"b","z","P7b"
731,624,"t",NA,"P7t"
734,624,"b",NA,"P7b"
840,719,"t",NA,"P8t-bag"
843,719,"b",NA,"P8b-bag"
839,718,"t","z","P8t"
842,718,"b","z","P8b"
841,720,"t",NA,"P8t"
844,720,"b",NA,"P8b"
75,74,"t","z","Q1t"
77,74,"b","z","Q1b"
76,75,"t",NA,"Q1t"
78,75,"b",NA,"Q1b"
185,170,"t","z","Q2t"
187,170,"b","z","Q2b"
186,171,"t",NA,"Q2t"
188,171,"b",NA,"Q2b"
294,266,"t","z","Q3t"
296,266,"b","z","Q3b"
295,267,"t",NA,"Q3t"
297,267,"b",NA,"Q3b"
406,362,"t","z","Q4t"
408,362,"b","z","Q4b"
407,363,"t",NA,"Q4t"
409,363,"b",NA,"Q4b"
516,458,"t","z","Q5t"
518,458,"b","z","Q5b"
517,459,"t",NA,"Q5t"
519,459,"b",NA,"Q5b"
626,554,"t","z","Q6t"
628,554,"b","z","Q6b"
627,555,"t",NA,"Q6t"
629,555,"b",NA,"Q6b"
735,650,"t","z","Q7t"
737,650,"b","z","Q7b"
736,651,"t",NA,"Q7t"
738,651,"b",NA,"Q7b"
845,746,"t","z","Q8t"
847,746,"b","z","Q8b"
846,747,"t",NA,"Q8t"
848,747,"b",NA,"Q8b"
79,77,"t","z","R1t"
80,77,"b","z","R1b"
81,78,"mush",NA,"R1_"
189,173,"t","z","R2t"
191,173,"b","z","R2b"
