"OTUid"	"percConfid"	"genusSpecies"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"OTU_1415"	1	"Blastocatella"	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	"Blastocatella"	"unidentified"	"unidentified"	"unidentified"
"OTU_1416"	0.99	"Mucilaginibacter"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"unidentified"
"OTU_1417"	0.58	"Rhodopila"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Rhodopila"	"unidentified"
"OTU_1418"	0.66	"Ohtaekwangia"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Ohtaekwangia"	"unidentified"	"unidentified"
"OTU_1419"	0.87	"Flavonifractor"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Flavonifractor"	"unidentified"
"OTU_142"	0.53	"Amycolatopsis"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Amycolatopsis"	"unidentified"
"OTU_1420"	0.19	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unidentified"	"unidentified"	"unidentified"
"OTU_1421"	0.39	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1422"	0.6	"Umezawaea"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Umezawaea"	"unidentified"
"OTU_1423"	1	"WPS-1_genera_incertae_sedis"	"Bacteria"	"candidate division WPS-1"	"WPS-1_genera_incertae_sedis"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1424"	0.32	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unidentified"	"unidentified"	"unidentified"
"OTU_1425"	0.63	"Pedobacter"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	"unidentified"
"OTU_1426"	1	"Dyella"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dyella"	"unidentified"
"OTU_1427"	1	"Saccharibacteria_genera_incertae_sedis"	"Bacteria"	"Candidatus Saccharibacteria"	"Saccharibacteria_genera_incertae_sedis"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
